column_name,code,value
PAISPRO,770,SURINAM
PAISPRO,773,SWAZILANDIA
PAISPRO,774,TADJIKISTAN
PAISPRO,776,TAILANDIA
PAISPRO,780,"TANZANIA, REPUBLICA UNIDA DE"
PAISPRO,783,DJIBOUTI
PAISPRO,787,TERRITORIO BRITANICO DEL OCEANO INDICO
PAISPRO,788,TIMOR DEL ESTE
PAISPRO,800,TOGO
PAISPRO,805,TOKELAU
PAISPRO,810,TONGA
PAISPRO,815,TRINIDAD Y TOBAGO
PAISPRO,820,TUNICIA
PAISPRO,823,"TURCAS Y CAICOS, ISLAS"
PAISPRO,825,TURKMENISTAN
PAISPRO,827,TURQUIA
PAISPRO,828,TUVALU
PAISPRO,830,UCRANIA
PAISPRO,833,UGANDA
PAISPRO,845,URUGUAY
PAISPRO,847,UZBEKISTAN
PAISPRO,850,VENEZUELA
PAISPRO,855,VIETNAM
PAISPRO,863,"VIRGENES, ISLAS (BRITANICAS)"
PAISPRO,866,"VIRGENES, ISLAS (NORTEAMERICANAS)"
PAISPRO,870,FIJI
PAISPRO,875,"WALLIS Y FORTUNA, ISLAS"
PAISPRO,880,YEMEN
PAISPRO,885,YUGOSLAVIA
PAISPRO,888,ZAIRE
PAISPRO,890,ZAMBIA
PAISPRO,897,ZONA NEUTRAL PALESTINA
PAISPRO,911,ZONA FRANCA DE BARRANQUILLA
PAISPRO,912,ZONA FRANCA DE BUENAVENTURA
PAISPRO,913,ZONA FRANCA DE PALMASECA - CALI
PAISPRO,914,ZONA FRANCA DE CUCUTA
PAISPRO,915,ZONA FRANCA DE SANTA MARTA
PAISPRO,916,ZONA FRANCA DE CARTAGENA
PAISPRO,917,ZONA FRANCA DE RIONEGRO - MEDELLIN
PAISPRO,918,ZONA FRANCA DE CANDELARIA - CARTAGENA
PAISPRO,919,ZONA FRANCA DE BOGOTA
PAISPRO,920,ZONA FRANCA DE PACIFICO - CALI
PAISPRO,921,ZONA FRANCA DE BARU BEACH RESORT
PAISPRO,922,ZONA FRANCA DE POZOS COLORADOS
PAISPRO,923,ZONA FRANCA DE EUROCARIBE DE INDIAS
PAISPRO,924,ZONA FRANCA DEL EJE CAFETERO
PAISPRO,928,         ZFP La Cayena
PAISPRO,999,NO DECLARADOS
PAISCOM,013,Afganistan
PAISCOM,017,Albania
PAISCOM,023,Alemania
PAISCOM,026,Armenia
PAISCOM,027,Aruba
PAISCOM,029,Bosnia-herzegovina
PAISCOM,031,Burkina fasso
PAISCOM,037,Andorra
PAISCOM,040,Angola
PAISCOM,041,Anguilla
PAISCOM,043,Antigua y barbuda
PAISCOM,047,Antillas holandesas
